CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
American Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,
90439,AMST,150,A,Introduction to Africana and African American Studies,4,C Thompson,TR,1100,1215,,NA,NA,duPont Library G26,25,24,Available: 1,Reserved Seats: new first-year students-9 (none available); Consent of professor required for late entry,G4: Exploring Past and Present
90440,AMST,333,A,Junior Seminar,4,W Register,M,1400,1630,,NA,NA,Walsh-Ellett Hall 208,15,9,Available: 6,Consent of professor required for late entry,
90938,AMST,370,A,The Civil War and Reconstruction in the South Carolina Sea Islands,2,J McCardell/W Register,T,1930,2230,,NA,NA,Walsh-Ellett Hall 204,25,17,Available: 8,Prerequisites: Approval of the South Carolina Sea Islands program director; Consent of professor required for late entry,
90443,ARTH,212,A,American Animation, 1910-1960,4,G Clark,TR,800,915,,NA,NA,Carnegie Hall 302,24,24,Closed // Waitlist: 0,Reserved Seats: new first-year students-10 (none available); Consent of professor required for late entry,G2: Understanding the Arts
90446,ARTH,340,A,American Art,4,M Brennecke,TR,1330,1445,,NA,NA,Carnegie Hall 306,18,16,Available: 2,Prerequisites: ARTH 104 or HUMN 202; Consent of professor required for late entry,
90518,ENGL,330,A,The Life and Literature of Tennessee Williams,4,V Craighill,MW,1400,1515,,NA,NA,Gailor Hall 130,25,17,Available: 8,Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry,
90519,ENGL,349,A,Special Topics in English: Emily Dickinson,4,E Grammer,TR,1330,1445,,NA,NA,Gailor Hall 224,15,13,Available: 2,GMWI: Upper-Level (Major) Writing Intensive; Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry,
90525,ENGL,378,A,American Literature II,4,J Grammer,TR,1100,1215,,NA,NA,Gailor Hall 130,25,24,Available: 1,Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry,
90527,ENGL,396,A,American Environmental Literature,4,J Gatta,MWF,1200,1250,,NA,NA,Gailor Hall 110,25,22,Available: 3,Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry,
90528,ENGL,397,A,Contemporary American Fiction,4,T Carlson,W,1400,1630,,NA,NA,duPont Library 215,15,10,Available: 5,GMWI: Upper-Level (Major) Writing Intensive; Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry,
90529,ENGL,398,A,American Poetry Since World War II,4,W Prunty,M,1400,1630,,NA,NA,Gailor Hall 114,15,14,Available: 1,GMWI: Upper-Level (Major) Writing Intensive; Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry,
