CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
American Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,
55494,AMST,333,A,Junior Seminar,4,W Register,M,1400,1630,,NA,NA,Archives & Special Collections 201,15,8,Available: 7,Open only to students pursuing majors in American studies; Consent of professor required for late entry,
55820,ANTH,411,A,Research Seminar: Campus Life and Academic Culture,4,R O'Connor,TR,930,1045,,NA,NA,Woods Laboratories 342,10,4,Available: 6,Consent of professor required for late entry,
55652,ARTH,212,A,American Animation, 1910-1960,4,G Clark,TR,800,915,,NA,NA,Carnegie Hall 302,24,24,Closed,Reserved Seats: returning freshmen-8 (none available); Waitlist - contact instructor,G2: Understanding the Arts
55654,ARTH,340,A,American Art,4,M Brennecke,TR,1330,1445,,NA,NA,Carnegie Hall 306,18,19,Closed,Prerequisites: ARTH 104 or HUMN 202; Consent of professor required for late entry,
55522,ENGL,378,A,American Literature II,4,E Grammer,TR,1330,1445,,NA,NA,Gailor Hall 110,25,22,Available: 3,Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry,
55523,ENGL,379,A,The American Novel,4,J Grammer,TR,1100,1215,,NA,NA,Gailor Hall 130,25,24,Available: 1,Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry,
55525,ENGL,394,A,Literature of the American South,4,T Carlson,TR,1500,1615,,NA,NA,duPont Library 215,15,14,Available: 1,GMWI: Upper-Level (Major) Writing Intensive; Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry,
55526,ENGL,397,A,Contemporary American Fiction,4,T Carlson,W,1400,1630,,NA,NA,duPont Library 215,15,15,Closed,GMWI: Upper-Level (Major) Writing Intensive; Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry,
55527,ENGL,398,A,American Poetry Since World War II,4,W Prunty,M,1400,1630,,NA,NA,Gailor Hall 114,25,18,Available: 7,Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry,
55531,HIST,202,A,History of the United States II,4,W Register,MWF,900,950,,NA,NA,Walsh-Ellett Hall 304,25,25,Closed,Reserved Seats: returning freshmen-10 (5 available); Consent of professor required for late entry,G4: Exploring Past and Present
55536,HIST,238,A,Women in U.S. History, 1870 to the Present,4,J Berebitsky,TR,930,1045,,NA,NA,Walsh-Ellett Hall 202,25,25,Closed,Reserved Seats: returning freshmen-5 (none available); Consent of professor required for late entry,G4: Exploring Past and Present
55540,HIST,317,A,African-American Intellectual History,4,H Roberson,W,1330,1600,,NA,NA,Walsh-Ellett Hall 204,16,15,Available: 1,Prerequisites: One course in history with attribute G4 including AP or IB credit; Consent of professor required for late entry,
55857,HIST,325,A,Revolutionary America,4,J Willis,MW,1400,1515,,NA,NA,Walsh-Ellett Hall 202,16,17,Closed,Prerequisites: One course in history with attribute G4 including AP or IB credit; Waitlist - contact instructor,
55891,HIST,336,A,Hours of Crisis in U.S. History,4,J Meacham,M,1300,1530,,NA,NA,Walsh-Ellett Hall 206,20,19,Available: 1,Prerequisites: One course in history with attribute G4 including AP or IB credit; Consent of professor required for late entry,
55548,HIST,493,A,The Civil War and American Historical Memory,4,J McCardell,T,1900,2200,,NA,NA,Walsh-Ellett Hall 204,16,18,Closed,Consent of professor required for late entry,
55472,POLS,107,A,Critical Issues in American Politics,4,A Hatcher,W,1300,1530,,NA,NA,Carnegie Hall 013,15,11,Available: 4,Open only to freshmen and sophomores; Consent of professor required for late entry,G4: Exploring Past and Present,GFWI: Foundational Writing Intensive
55475,POLS,203,A,The Presidency,4,A Hatcher,TR,1330,1445,,NA,NA,Walsh-Ellett Hall 210,25,25,Closed,Consent of professor required for late entry,G4: Exploring Past and Present
55478,POLS,304,A,American Political Thought,4,G McKeen,W,1330,1600,,NA,NA,Walsh-Ellett Hall 206,20,18,Available: 2,Consent of professor required for late entry,
55828,THTR,324,A,Politics and Contemporary American Theatre,4,E Wilder,M,1400,1700,,NA,NA,Gailor Hall 019,16,12,Available: 4,Consent of professor required for late entry,
55462,WMST,100,A,Introduction to Women's and Gender Studies,4,J Berebitsky,TR,1330,1445,,NA,NA,Walsh-Ellett Hall 306,24,24,Closed,Open only to freshmen, sophomores, and juniors; Waitlist - contact instructor,G4: Exploring Past and Present
Anthropology,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,
55606,ANTH,106,A,Introductory Physical Anthropology and Archaeology,4,S Sherwood,TR,930,1045,,NA,NA,Woods Laboratories 113,25,25,Closed,Reserved Seats: returning freshmen-15 (1 available); Consent of professor required for late entry,G4: Exploring Past and Present,G5: Observing-Experimenting-Modeling
55605,ANTH,106,B,Introductory Physical Anthropology and Archaeology,4,S Sherwood,TR,1330,1445,,NA,NA,Woods Laboratories 113,25,25,Closed,Reserved Seats: returning freshmen-15 (none available); Consent of professor required for late entry,G4: Exploring Past and Present,G5: Observing-Experimenting-Modeling
55607,ANTH,222,A,Celtic Culture and Archaeology,4,C Ray,TR,1100,1215,,NA,NA,Walsh-Ellett Hall 210,25,36,Closed,Consent of professor required for late entry,G3: Seeking Meaning,G4: Exploring Past and Present
55608,ANTH,312,A,Place, Ritual and Belief,4,C Ray,TR,1330,1445,,NA,NA,Walsh-Ellett Hall 304,18,16,Available: 2,Prerequisites: ANTH 104 or ANTH 106 or ANTH 109; Consent of professor required for late entry,
55609,ANTH,316,A,Archaeology of the Cumberland Plateau,4,S Sherwood,W,1300,1630,,NA,NA,Woods Laboratories G9,10,8,Available: 2,Consent of professor required for late entry,
55610,ANTH,317,A,The Anthropology of Development,4,D Murdock,MWF,1000,1050,,NA,NA,Spencer Hall 251,18,17,Available: 1,Prerequisite: ANTH 104; Waitlist - contact instructor,
55612,ANTH,391,A,Junior Tutorial,4,R O'Connor,W,1300,1530,,NA,NA,Woods Laboratories 342,15,9,Available: 6,GMWI: Upper-Level (Major) Writing Intensive; Open only to students pursuing majors in anthropology; Prerequisite: ANTH 104; Consent of professor required for late entry,
55613,ANTH,403,A,Social Theory,4,D Murdock,M,1330,1600,,NA,NA,Woods Laboratories 342,15,8,Available: 7,Open only to seniors pursuing majors in anthropology; Consent of professor required for late entry,
